IMDB ID,BOX OFFICE
tt0114709,191796233.0
tt0113497,100200000.0
tt0113228,69870000.0
tt0114885,66217473.0
tt0113041,76594000.0
tt0113277,67436000.0
tt0114319,53458319.0
tt0112302,23735802.0
tt0114576,22000000.0
tt0113189,106635996.0
tt0112346,65000000.0
tt0112896,10693649.0
tt0112453,11268750.0
tt0113987,13560960.0
tt0112760,11000000.0
tt0112641,42438300.0
tt0114388,42700000.0
tt0113101,4301331.0
tt0112281,108360000.0
tt0113845,35324232.0
tt0113161,72077000.0
tt0112722,32051917.0
tt0112401,30306268.0
tt0114168,30862146.0
tt0113627,31968347.0
tt0114057,2112951.0
tt0114011,27400000.0
tt0114117,5462325.0
tt0112792,84919401.0
tt0114746,56882000.0
tt0114952,15052.0
tt0112431,66600000.0
tt0112818,39025000.0
tt0112286,15981095.0
tt0113442,19474589.0
tt0112697,56631572.0
tt0112749,676525.0
tt0114279,2600000.0
tt0112819,24200000.0
tt0114272,4100000.0
tt0113855,70360285.0
tt0114681,21200000.0
tt0113347,23574130.0
tt0114369,100125340.0
tt0114148,141600000.0
tt0114814,23272306.0
tt0109950,252009.0
tt0113819,6700000.0
tt0112499,17725500.0
tt0113158,2907768.0
tt0113541,
tt0113321,17518220.0
tt0113419,35617599.0
tt0116260,53146000.0
tt0113862,82528097.0
tt0116126,39255889.0
tt0118002,10700000.0
tt0115683,26757000.0
tt0116839,2409225.0
tt0114753,
tt0113118,27900000.0
tt0116367,25753840.0
tt0113010,11534477.0
tt0113537,704543.0
tt0115644,37905900.0
tt0115676,4085000.0
tt0114367,5781885.0
tt0113973,209951.0
tt0112744,832910.0
tt0116731,44834712.0
tt0114660,529766.0
tt0114039,3375000.0
tt0113612,402091.0
tt0112365,5304000.0
tt0118158,10300000.0
tt0116151,18838000.0
tt0115697,32377000.0
tt0113972,8169363.0
tt0113490,
tt0117002,5600000.0
tt0114825,19900000.0
tt0115639,20837000.0
tt0115759,70450000.0
tt0113283,
tt0115907,20300000.0
tt0115734,1040879.0
tt0117102,12350030.0
tt0118040,2780278.0
tt0116483,38624000.0
tt0112579,70960517.0
tt0117110,33609000.0
tt0112646,
tt0113276,
tt0112573,75600000.0
tt0115645,17292000.0
tt0112373,1310200.0
tt0116606,4635344.0
tt0114536,6278139.0
tt0117427,1700000.0
tt0103859,70100000.0
tt0116324,14891000.0
tt0110647,
tt0110217,
tt0114131,
tt0112364,
tt0113107,78168.0
tt0113451,9795017.0
tt0114500,
tt0116130,25800000.0
tt0113125,
tt0113756,209935.0
tt0118055,51045801.0
tt0115685,123986682.0
tt0113200,381804.0
tt0112585,10246600.0
tt0112442,65807024.0
tt0112342,7506759.0
tt0112461,2424439.0
tt0109093,856422.0
tt0112384,172071312.0
tt0114287,31600000.0
tt0112288,302393.0
tt0112462,184031112.0
tt0112495,5750110.0
tt0112541,1275999.0
tt0109370,178104.0
tt0112642,100328194.0
tt0112688,13040603.0
tt0112715,81022333.0
tt0112740,91400000.0
tt0109508,3174695.0
tt0112851,25625110.0
tt0112857,16030096.0
tt0112864,100012500.0
tt0112887,259319.0
tt0113044,293274.0
tt0113071,37600435.0
tt0113114,30077111.0
tt0113243,7564000.0
tt0113464,3487767.0
tt0113481,19076000.0
tt0113492,34694000.0
tt0113500,17014653.0
tt0113540,7417210.0
tt0113677,1148752.0
tt0113690,13293081.0
tt0113729,15453274.0
tt0113749,2122561.0
tt0113820,37804616.0
tt0113851,2488858.0
tt0110620,446934.0
tt0113957,50728000.0
tt0113986,69700000.0
tt0114095,472370.0
tt0114194,16115878.0
tt0114241,103351.0
tt0114323,512245.0
tt0114345,10400000.0
tt0114435,2702578.0
tt0114436,20302961.0
tt0114478,8349430.0
tt0114496,50892160.0
tt0114508,60054449.0
tt0114534,99318.0
tt0114558,7919000.0
tt0114666,5780000.0
tt0114663,7025496.0
tt0114682,36475691.0
tt0114781,50024083.0
tt0114798,7929241.0
tt0114805,2875086.0
tt0114887,50012507.0
tt0114898,88246220.0
tt0114928,3760515.0
tt0114938,2167808.0
tt0112602,7450990.0
tt0112471,5400000.0
tt0112508,25588750.0
tt0112438,
tt0112571,23450000.0
tt0112757,2568429.0
tt0112643,
tt0112679,23397365.0
tt0109445,3151130.0
tt0112883,22200000.0
tt0109635,83000000.0
tt0112899,
tt0109676,28720380.0
tt0112854,1176982.0
tt0109579,2104000.0
tt0109642,24361867.0
tt0109686,127175354.0
tt0109758,6841570.0
tt0109707,5887457.0
tt0113117,38900000.0
tt0113097,33194500.0
tt0113028,11642946.0
tt0113198,35348597.0
tt0113303,12201255.0
tt0113089,3987649.0
